番号	用途	推奨サイズ	完成プロンプト
11	2コマ漫画 社員教育 Before After	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 2コマ漫画風のビジネスイラスト。左のBefore（導入前）は、新人社員が「どうすればいいか分からない」という表情で、社長や先輩に何度も質問している。社長と先輩は作業を止めて困っている。右のAfter（導入後）は、新人社員がAI（Artificial Intelligence／人工知能）画面と社内マニュアルを見ながら自分で作業を進め、先輩は笑顔で最終確認だけしている。日本の中小企業のオフィス。親しみやすい漫画風。吹き出しの余白あり。画像内に文字なし。
12	導入前後比較イラスト	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 左右比較のビジネスイラスト。左側はBefore（導入前）で、社長が疲れてメール、資料、社員質問、問い合わせ対応、マニュアル不足に追われている。右側はAfter（導入後）で、AI（Artificial Intelligence／人工知能）が下書き、マニュアル、チェックリスト、FAQ（Frequently Asked Questions／よくある質問）を整理し、社員が自走し、社長が経営に集中している。左は薄い赤の雰囲気、右は薄いグリーンの雰囲気。白背景。画像内に文字なし。
13	業種別活用事例4分割	横長または正方形	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 4分割の業種別ビジネスイラスト。1つ目は建設業・工務店で、現場報告や見積作成をAI（Artificial Intelligence／人工知能）で整理している。2つ目は士業・事務系会社で、メール返信や書類作成をAI（Artificial Intelligence／人工知能）で補助している。3つ目は人材・教育業で、求人原稿、面談メモ、研修マニュアルを作っている。4つ目は飲食・店舗ビジネスで、新人教育、口コミ返信、SNS（Social Networking Service／交流型インターネットサービス）投稿を整えている。日本の中小企業らしい現実的な場面。白背景。画像内に文字なし。
14	選ばれる理由3アイコン	正方形 1:1	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 AI（Artificial Intelligence／人工知能）導入支援が選ばれる理由を表す3つのビジネスアイコン。1つ目は中小企業にちょうどいい支援を表す、社長と少人数の社員のアイコン。2つ目はツール紹介で終わらず、テンプレート、マニュアル、運用ルールまで作るアイコン。3つ目は社長の時間が増え、経営や商談に集中できるアイコン。統一感のあるシンプルなビジネスイラスト。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。画像内に文字なし。
15	2コマ漫画 問い合わせ対応 Before After	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 2コマ漫画風のビジネスイラスト。左のBefore（導入前）は、問い合わせメールが大量にたまり、担当者と社長が焦っている。右のAfter（導入後）は、AI（Artificial Intelligence／人工知能）が返信文の下書きを作り、担当者が内容を確認して送信している。社長は安心して別の業務に集中している。日本の中小企業のオフィス。メール画面、チャット画面、確認作業が分かる構図。吹き出しの余白あり。画像内に文字なし。
16	料金プラン用イラスト	横長または正方形	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 料金プランを表すシンプルなビジネスイラスト。無料AI（Artificial Intelligence／人工知能）診断、AI（Artificial Intelligence／人工知能）導入研修、AI（Artificial Intelligence／人工知能）業務改善支援、AI（Artificial Intelligence／人工知能）顧問サポートの4つのカードが並んでいるような構図。ただしカード内に文字は入れない。各カードに診断、研修、実装、継続支援を表すアイコンを配置。清潔感と信頼感のあるD2C（Direct to Consumer／消費者直接販売）サイト風。白背景。ネイビー、ライトブルー、オレンジ基調。
17	無料診断用イラスト	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 日本の中小企業の社長とAI（Artificial Intelligence／人工知能）導入支援の専門家が、業務チェックシートとパソコン画面を見ながら無料診断をしている。パソコン画面には、業務フロー、チェックリスト、改善ポイントがアイコンとして整理されている。社長は安心して相談している。対面相談とオンライン相談の両方を連想できる構図。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。画像内に文字なし。
18	よくある質問用イラスト	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 よくある質問を表すビジネスイラスト。日本の中小企業の社長が疑問を持ち、AI（Artificial Intelligence／人工知能）導入支援の専門家が分かりやすく説明している。横にAI（Artificial Intelligence／人工知能）画面、チェックリスト、セキュリティを表す盾のアイコンがある。安心感、信頼感、親しみやすさ。白背景。ネイビー、ライトブルー、オレンジ基調。画像内に文字なし。
19	経営者へのメッセージ用イラスト	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 日本の中小企業の40代男性社長が、落ち着いた表情で経営資料を見ている。背後ではAI（Artificial Intelligence／人工知能）を表す画面が、メール、マニュアル、問い合わせ、チェックリストを整理し、社員たちが自走して働いている。社長の時間が現場作業から経営に戻っていることが分かる。信頼感のあるビジネスイラスト。ネイビー背景に合う配色。未来的すぎず現実的。画像内に文字なし。
20	最終CTA用イラスト	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 日本の中小企業の社長が、AI（Artificial Intelligence／人工知能）導入支援の専門家と安心して相談している。オンライン相談と対面相談の両方を連想できる構図。パソコン画面には業務診断、改善ステップ、チェックリストがアイコンで表示されている。社長は安心した表情。清潔感、信頼感、親しみやすさ。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。画像内に文字なし。
